"<div class=""container"">You currently need the Luma Fallback module to render the Paypal Express Review Page.</div>","<div class=""container"">Derzeit wird das Luma Fallback Modul benötigt um die Paypal Express Review Seite anzuzeigen.</div>"
"Active filtering","Aktive Filter"
"Contact Details","Kontaktdaten"
"Could not add item to wishlist.","Das Produkt konnte nicht der Wunschliste hinzugefügt werden."
"Could not remove all item from compare.","Alle Produkte konnten nicht von der Vergleichsliste entfernt werden."
"Could not remove item from compare.","Das Produkt konnte nicht von der Vergleichsliste entfernt werden."
"Could not remove item from quote.","Das Produkt konnte nicht aus dem Warenkorb entfernt werden"
"Created at","Angelegt an"
"Customer Address","Kundenadresse"
"Email Address:","Email Addresse:"
"Estimate shipping","Versandkosten schätzen"
"Estimate tax","Steuern schätzen"
"Loading rates...","Versandoptionen werden geladen..."
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Nur angemeldete Kunden können Bewertungen schreiben. Bitte <a href=""%1"" class=""underline"">melden Sie sich an</a> oder <a href=""%2"" class=""underline"">legen sie ein Konto an</a>"
"Please enable LocalStorage in your browser.","Bitte aktivieren Sie LocalStorage in Ihrem Browser."
"Please verify you've entered all required information","Bitte kontrollieren Sie alle angegebenen Informationen"
"Popular Products","Beliebte Produkte"
"Product Options:","Produkt Optionen:"
"Read our policy","Bitte lesen sie unsere Erklärung"
"Remove all Products","Alle Produkte entfernen"
"Review score","Bewertung"
"Show Add To Compare In Product List","Zeige Zur Vergleichsliste hinzufügen auf Produkt Listen"
"Show Add To Compare On Product Page","Zeige Zur Vergleichsliste hinzufügen auf Produkt Seiten"
"Show Compare Sidebar On Product List","Zeige Vergleichsliste in der Seitenleiste auf Produkt Listen"
"Submitting your review failed, please try again.","Fehler beim Sender der Bewertung, bitte versuchen Sie es erneut."
"Thank you for your visit, we're looking forward to see you again soon.","Vielen Dank für Ihren Besuch. Wir freuen uns darauf Sie bald wieder begrüßen zu dürfen."
"This form is protected by reCAPTCHA - the <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">Google Privacy Policy</a> and <a class=""underline"" href=""%2"" target=""_blank"" rel=""noopener"">Terms of Service</a> apply.","Dieses Formular wird durch reCAPTCHA geschützt - die <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">Google Privacy Policy</a> und <a class=""underline"" href=""%2"" target=""_blank"" rel=""noopener"">Nutzungsbedingungen</a> werden angewandt."
"Track Shipment","Sendung Verfolgen"
"Update item","Produkt im Warenkorb aktualisieren"
"We found other products you might like!
                            ","Diese Produkte könnten Ihnen auch gefallen!"
"You have signed out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden in 5 Sekunden zur Homepage weitergeleitet."
"You have signed out","Sie haben sich abgemeldet"
"You might also like:","Das könnte Ihnen auch gefallen:"
"You removed all products from the comparison list","Sie haben alle Produkte von der Vergleichsliste entfernt"
"You removed product %1 from the comparison list","Sie haben das Produkt %1 von der Vergleichsliste entfernt"
"You removed the item.","Sie haben das Produkt entfernt."
"Your form does not have the required fields for recaptcha to work.","Das Formular hat nicht die benötigten Felder damit reCAPTCHA funktioniert."
"excl. VAT","exkl. VAT"
"incl. VAT","inkl. VAT"
Cart,Warenkorb
Contact,Kontakt
Region,Region
Sku,Sku
excl.,exkl.
incl.,inkl.
